"Date","Order ID","Type","Detail","Item ID","Document","Price","AU GST","AU RWT","EU VAT","US Sales Tax","US RWT","US BWT","Amount","Site","Other Party Country","Other Party Region","Other Party City","Other Party Zipcode"
"2019-04-04 12:15:32 +1100","102905896","Author Fee","Author Fee for sale IVIP31584009","17844625","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-04-04 12:15:32 +1100","102905896","Sale","Golazo PowerPoint Presentation (Regular License)","17844625","IVIP31584009","12.00","","","","","1.20","","10.80","GraphicRiver","United States","Texas","Port Lavaca","77979"
"2019-04-04 07:57:51 +1100","102896985","Author Fee","Author Fee for sale IVIP31581169","21194302","","1.75","","","","","","","-1.75","GraphicRiver","","","",""
"2019-04-04 07:57:51 +1100","102896985","Sale","2018 Epic Presentation Template (Regular License)","21194302","IVIP31581169","14.00","","","","","","","14.00","GraphicRiver","Germany","Bayern","Erding","85435"
"2019-04-04 04:02:23 +1100","102882521","Author Fee","Author Fee for sale IVIP31577016","22666736","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-04-04 04:02:23 +1100","102882521","Sale","Claricine Medical PowerPoint Template (Regular License)","22666736","IVIP31577016","12.00","","","","","","","12.00","GraphicRiver","Australia","Queensland","Robina","4126"
"2019-04-04 03:57:37 +1100","102882178","Author Fee","Author Fee for sale IVIP31576913","21194302","","1.75","","","","","","","-1.75","GraphicRiver","","","",""
"2019-04-04 03:57:37 +1100","102882178","Sale","2018 Epic Presentation Template (Regular License)","21194302","IVIP31576913","14.00","","","","","1.40","","12.60","GraphicRiver","United States","Texas","Allen","75002"
"2019-04-04 00:58:26 +1100","102868701","Author Fee","Author Fee for sale IVIP31572964","23350368","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-04-04 00:58:26 +1100","102868701","Sale","Higher Creative Startup Technology PowerPoint Template (Regular License)","23350368","IVIP31572964","12.00","","","","","","","12.00","GraphicRiver","Brazil","Se","umbauba","49260000"
"2019-04-03 23:28:33 +1100","102861842","Author Fee","Author Fee for sale IVIP31570998","23172626","","1.50","","","","","","","-1.50","GraphicRiver","","","",""
"2019-04-03 23:28:33 +1100","102861842","Sale","Autoventure Automotive PowerPoint Template (Regular License)","23172626","IVIP31570998","12.00","","","","","1.20","","10.80","GraphicRiver","United States","Maryland","Glenelg","21737"
